Ingredient_ID,Common_Ingredient_Name,Ingredient_Alternate_Name,Ingredient_Definition,Ingredient_Definition_Source,Ingredient_Def_Date,Ingredient_Chem_Ref
1,8-Hydroxy Quinoline,8-HYDROXYQUINOLINE,8-HYDROXYQUINOLINE is an antiseptic with mild fungistatic; bacteriostatic; anthelmintic; and amebicidal action. It is also used as a reagent and metal chelator; as a carrier for radio-indium for diagnostic purposes; and its halogenated derivatives are used in addition as topical anti-infective agents and oral antiamebics.,https://pubchem.ncbi.nlm.nih.gov/compound/8-hydroxyquinoline#section=Top,2/26/2016,https://pubchem.ncbi.nlm.nih.gov/compound/8-hydroxyquinoline#section=Top
2,Acacia Decurrens Wax,ACACIA DECURRENS Extract,About ACACIA DECURRENS FLOWER WAX: Acacia Decurrens Flower Wax is a wax obtained from the flowers of Acacia decurrens. Function(s): Skin-Conditioning Agent - Emollient; Skin-Conditioning Agent - Occlusive; SKIN CONDITIONING; SKIN PROTECTING,http://www.ewg.org/skindeep/ingredient/716261/ACACIA_DECURRENS_FLOWER_WAX/,3/5/2016,na
3,Acai Fruit Extract,Acai Juice,na,na,na,na
4,Acetic Acid,Acetic Acid,PH Control. Acetic Acid is an organic acid formed when ethanol is fermented. Vinegar is typically a 5% solution of Acetic Acid. Brown Rice Vinegar is the vinegar produced by the fermentation of unpolished brown rice. Natural Vinegars also contain small amounts of tartaric acid; citric acid and other acids. In cosmetics and personal care products; Acetic Acid; Vinegar and Brown Rice Vinegar are used in the formulation of hair conditioners; shampoos; hair rinses; wave sets and other hair care products. Acetic Acid is also used in mouthwashes and breath fresheners and Vinegar can be found in skin care products.,http://www.cosmeticsinfo.org/ingredient/vinegar-and-acetic-acid,3/5/2016,na
5,Acrylate Terpolymer,Acrylate Polymer,"Binding agent. Acrylate polymer; ""three"" or ""ter"" in terpolymer means three monomers connected together.",https://en.wikipedia.org/wiki/Acrylate_polymer,na,na
6,Alcohol,Detatured Alcohol? Ethanol?,"Unclear to which ""alcohol"" this is.",na,na,na
7,Allantoin,5-Ureidohydantoin; Glyoxyldiureide,llantoin is a naturally ocurring nitrogenous compound used as a skin conditioning agent.,http://www.ewg.org/skindeep/ingredient/700244/ALLANTOIN/,2/16/2016,https://fscimage.fishersci.com/msds/24578.htm
8,Aloe Vera,Aloe Vera Extract; Aloe Vera Juice; Aloe Leaf Juice; Aloe Vera Gel,Juice vs. Gel -- Gel has a higher polysachride content; made from the inside of the plant. Juice is made from the outer leaf mainly. Gel has a higher concentration of aloin; which is a laxitive (why you should not drink the gel!),http://www.livestrong.com/article/474409-aloe-vera-gel-vs-juice/ ; http://www.lilyofthedesert.com/faq/,3/5/2016,na
9,Aloe Vera Oil Extract,na,Nutrients are transfered from the plant by mixing the gel with oil and sperating it out,http://www.aloeplant.info/how-to-make-aloe-vera-oil-for-skin/,3/5/2016,na
10,Aluminium Chlorohydrate,ALUMINUM HYDROXYCHLORIDE,Aluminium chlorohydrate is a group of specific aluminium salts having the general formula AlnCl(3n-m)(OH)m. It is used in deodorants and antiperspirants and as a coagulant in water purification.,https://en.wikipedia.org/wiki/Aluminium_chlorohydrate,3/5/2016,na
11,Aluminum Starch Octenylsuccinate,ALUMINUM SALT STARCH,This ingredient is an aluminum salt of chemically modified starch. Function(s): Absorbent; Anticaking Agent; Viscosity Increasing Agent - Nonaqueous; VISCOSITY CONTROLLING,http://www.ewg.org/skindeep/ingredient/700326/ALUMINUM_STARCH_OCTENYLSUCCINATE/,3/5/2016,na
12,Aminomethyl Propanol,na,na,na,na,na
13,Apricot Oil,Prunus Armeniaca (Apricot) Oil; Bitter Almond Oil,Prunus Armeniaca (Apricot) Kernel Oil and Hydrogenated Apricot Oil function as skin conditioning agents - occlusive. Hydrogenated Apricot Kernel Oil also functions as a viscosity increasing agents - nonaqueous.,http://www.cosmeticsinfo.org/ingredient/prunus-armeniaca-apricot-kernel-oil-and-hydrogenated-apricot-kernel-oil,3/5/2016,na
14,Ascorbyl Palmitate,ASCORBYL PALMITATE (VITAMIN C PALMITATE),Ascorbyl palmitate is an ester formed from ascorbic acid and palmitic acid creating a fat-soluble form of vitamin C. In addition to its use as a source of vitamin C; it is also used as an antioxidant food additive (E number E304).,https://en.wikipedia.org/wiki/Ascorbyl_palmitate,3/5/2016,na
15,Avocado Oil,na,na,na,na,na
16,Barley Extract,na,na,na,na,na
17,Basil Oil,na,na,na,na,na
18,Beeswax,White Beeswax; Yellow Beeswax,na,na,na,na
19,Behentrimonium Methosulfate,na,na,na,na,na
20,Behenyl Alcohol,na,na,na,na,na
21,Bentone Gel,na,na,na,na,na
22,Benzethonium Chloride,na,na,na,na,na
23,Benzoic Acid,na,na,na,na,na
24,Benzoin,Desyl Alcohol; Bitter Almond Oil Camphor,na,https://en.wikipedia.org/wiki/Benzoin,3/5/2016,na
25,Benzyl Alcohol,BENZENEMETHANOL; BENZYLIC ALCOHOL; PHENYLCARBINOL; PHENYLMETHANOL; PHENYLMETHYL ALCOHOL;,External Analgesic; Fragrance Ingredient; Oral Health Care Drug; Preservative; Solvent;Viscosity Decreasing Agent; MASKING,http://www.ewg.org/skindeep/ingredient/700697/BENZYL_ALCOHOL/,2/21/2016,http://chem.sis.nlm.nih.gov/chemidplus/name/benzyl%20alcohol
26,Benzyl Benzoate,na,na,na,na,na
27,Beta-Carotene,na,Beta-Carotene is a naturally occurring carotenoid pigment found in many fruits and vegetables. Beta-Carotene is a precursor of; and can be synthesized from; vitamin A. Beta-Carotene used in cosmetics and personal care products is prepared synthetically or obtained from natural sources.,http://www.cosmeticsinfo.org/ingredient/beta-carotene,3/5/2016,na
28,BHA,Butylated Hydroxyanisole,Butylated hydroxyanisole is an antioxidant consisting of a mixture of two isomeric organic compounds; 2-tert-butyl-4-hydroxyanisole and 3-tert-butyl-4-hydroxyanisole. It is prepared from 4-methoxyphenol and isobutylene,https://en.wikipedia.org/wiki/Butylated_hydroxyanisole,3/5/2016,na
29,Bisabolol,Chamomile; Chamomile Extract,A resin obtained from Chamomile. Reduces sensitivity and inflammation.,https://www.dermalinstitute.com/us/library/glossary.html?l=B,3/6/2016,na
30,Butane,Propellent,Butane is a gas commenly used as a propellent in aerosal sprays,na,na,na
31,Butylece Glycol,na,na,na,na,na
32,Butylene/Ethlene/Styrene Copolymer,na,na,na,na,na
33,Butylparaben,na,na,na,na,na
34,Butylphenyl Methylpropional,na,na,na,na,na
35,C.I. 47005,na,na,na,na,na
36,C12-15 Alkyl Benzoate,na,na,na,na,na
37,C18-36 Acid Triglycerides,na,na,na,na,na
38,C4 24 Alkyl Dimethicone/Divinyldimethicone Crosspolymer,na,na,na,na,na
39,Calendula Extract,Calendula officinalis Extract; Pot Marigold; Calendula Flower Extract; Calendula Flower Oil,In cosmetics and personal care products; Calendula Officinalis Extract; Calendula Officinalis Flower Extract and Calendula Officinalis Flower Oil function as skin conditioning agents - miscellaneous. Calendula Officinalis Flower Extract and Calendula Officinalis Flower Oil also function as fragrance ingredients. Calendula Officinalis Seed Oil functions as a skin conditioning agent - occlusive.,http://www.cosmeticsinfo.org/ingredient/calendula-officinalis-derived-ingredients,3/5/2016,na
40,Candelilla Wax,na,These waxes also increase the thickness of the lipid (oil) portion of solid and stick-like products such as lipstick; giving them structure; allowing for a smooth application; and keeping them solid. Candelilla Wax is a yellowish-brown hard; brittle lustrous solid; extracted from the surface of the plant Euphorbia cerifera. In Europe this wax is known as Candelilla Cera.,http://www.cosmeticsinfo.org/ingredient/beeswax-and-plant-waxes,3/5/2016,na
41,Canola Oil,na,na,na,na,na
42,Caprlyl Glycol,na,na,na,na,na
43,Caprylic/Capric Triglyceride,na,Caprylic/Capric Triglycerides. * A mixed triester derived from coconut oil and glycerin. It comes in the form of an oily liquid; and is sometimes mistakenly referred to as fractionated coconut oil. Functions: Caprylic mainly works as an emollient; dispersing agent and solvent.,https://www.truthinaging.com/ingredients/capryliccapric-triglycerides,3/6/2016,na
44,Caprylyl Glycol,na,Properties: Effective humectant and emollient with antimicrobial efficacy; boosts traditional preservatives; provides deodorizing efficacy.,http://www.makingcosmetics.com/Caprylyl-Glycol-EHG_p_159.html,3/6/2016,na
45,Carbomer,na,na,na,na,na
46,Carnauba Wax,na,na,na,na,na
47,Carnosic Acid,na,na,na,na,na
48,Castor Oil,Castor Seed Oil; Ricinus Cummunis (Castor Seed) Oil,na,na,na,na
49,Ceresin wax,Cerin; Cerasin; Cerosin; Ceresin Wax; Ceresine,is a wax derived from ozokerite by a purifying process.,https://en.wikipedia.org/wiki/Ceresin,3/5/2016,na
50,Ceteareth 20,na,na,na,na,na
51,Ceteareth 20,na,na,na,na,na
52,Cetearyl Alcohol,na,Cetearyl Alcohol and the other fatty alcohols keep an emulsion from separating into its oil and liquid components. These ingredients are also used to alter the thickness of liquid products and to increase foaming capacity or to stabilize foams.,http://www.cosmeticsinfo.org/ingredient/cetearyl-alcohol-and-related-ingredients,3/6/2016,na
53,Cetearyl Glucoside,na,na,na,na,na
54,Cetearyl Methicone,na,na,na,na,na
55,Cetyl Alcohol,na,na,http://www.cosmeticsinfo.org/ingredient/cetearyl-alcohol-and-related-ingredients,na,na
56,Cetyl Esters,na,na,na,na,na
57,Cetyl Esters NF,Synthetic Spermaceti Wax (coconut derived),Cetyl Esters Wax offers an easy way to increase the viscosity (thickness) of your creams and lotions while also improving the feel.  There is some confusion about the naturalness of this material because it is referred to as a synthetic Spermaceti Wax.  Spermaceti Wax is waxy liquid harvested from Whales; and when the industry realized that there was a demand for a more friendly approach they created the synthetic alternative; Cetyl Esters Wax; which is natural wax produced from coconut.  ,http://www.ingredientstodiefor.com/item/Cetyl_Esters_NF/142/,2/21/2016,na
58,Cetyl Esters Wax NF,na,na,na,na,na
59,Cetyl Hydroxethylcellulose,na,na,na,na,na
60,Cetyl Palmitate,na,na,na,na,na
61,Cholecalciferol,na,na,na,na,na
62,Cinnamic Acid,Phenylacrylic acid,Cinnamic acid is an organic compound with the formula C6H5CHCHCO2H. It is a white crystalline compound that is slightly soluble in water; and freely soluble in many organic solvents. Classified as an unsaturated carboxylic acid; it occurs naturally in a number of plants.,https://en.wikipedia.org/wiki/Cinnamic_acid,3/6/2016,na
63,Citral,na,na,na,na,na
64,Citric Acid,na,na,na,na,na
65,Citronellol,na,na,na,na,na
66,Clove Oil,na,na,na,na,na
67,Coco-Caprylate/Caprate,na,na,na,na,na
68,Cocoa Butter,Cocoa Seed Butter; Theobroma Cacao (Cocoa Seed) Butter,na,na,na,na
69,Coconut Oil,Cocos Nucifera (Coconut) Oil,na,na,na,na
70,Cod Liver Oil,na,na,na,na,na
71,Comfrey Extract,Comfrey; Comfrey Root Extract,na,na,na,na
72,Corn Oil,na,na,na,na,na
73,Corn Starch,Zea Mays (Corn) Starch,na,na,na,na
74,Coumarin,na,na,na,na,na
75,Cranberry Fruit Extract,na,na,na,na,na
76,Cyclomethicone,CYCLOPENTASILOXANE,ANTISTATIC; EMOLLIENT; HAIR CONDITIONING; HUMECTANT; SOLVENT; VISCOSITY CONTROLLING,http://www.ewg.org/skindeep/ingredient/701738/CYCLOMETHICONE/,2/16/2016,http://chem.sis.nlm.nih.gov/chemidplus/rn/69430-24-6
77,Cyclopentasiloxane,CYCLOPENTASILOXANE; DECAMETHYL-; DECAMETHYL- CYCLOPENTASILOXANE; DECAMETHYLCYCLOPENTASILOXANE,Decamethylcyclopentasiloxane is an organosilicon compound with the formula [(CH₃)₂SiO]₅. It is a colorless and odorless liquid that is slightly volatile. The compound is classified as a cyclomethicone.,https://en.wikipedia.org/wiki/Decamethylcyclopentasiloxane,2/16/2016,https://pubchem.ncbi.nlm.nih.gov/compound/decamethylcyclopentasiloxane#section=Top
78,Daucus Carota Sativa Root Extract,na,na,na,na,na
79,Decyl Oleate,na,na,na,na,na
80,Dehydroacetic Acid,na,na,na,na,na
81,Denatured Alcohol,Methanol; Methyl Alcohol; Wood Alcohol,na,na,na,na
82,Diazolidnyl Urea,Diazolidinylurea,Diazolidinyl urea is an antimicrobial preservative used in cosmetics. It is chemically related to imidazolidinyl urea which is used in the same way. Diazolidinyl urea acts as a formaldehyde releaser.,https://en.wikipedia.org/wiki/Diazolidinyl_urea,2/16/2016,http://www.commonchemistry.org/ChemicalDetail.aspx?ref=78491-02-8
83,Diisoocytl Adipate,na,na,na,na,na
84,Dimethicone,Polydimethylsiloxane; Octamethyltrisiloxane; Dimethicone Crosspolymer,Polydimethylsiloxane belongs to a group of polymeric organosilicon compounds that are commonly referred to as silicones. PDMS is the most widely used silicon-based organic polymer; and is particularly known for its unusual rheological properties.,https://en.wikipedia.org/wiki/Polydimethylsiloxane,2/16/2016,https://pubchem.ncbi.nlm.nih.gov/compound/24705
85,Dimethicone Crosspolymer,na,na,na,na,na
86,Dimethicone/Vinyl Dimethicone Crosspolymer,na,na,na,na,na
87,Dimethicone/Vinyltrimethylsiloxysilicate Crosspolymer,na,na,na,na,na
88,Dimethiconol,na,na,na,na,na
89,Dipotassium Glycyrrhizate,na,na,na,na,na
90,Dipotassium Phosphate,na,na,na,na,na
91,Disodium Phosphate,na,na,na,na,na
92,Distearoylethyl Hydroxyethylamine,na,na,na,na,na
93,DMDM Hydantoin+IPBC,na,na,na,na,na
94,Echinacea ,na,na,na,na,na
