Product_ID,Ingredient_ID,Common_Ingredient_Name,Ingredient_Order,Ingredient_Name_Listed,Ingredient_Notes
1,42,Caprylic/Capric Triglyceride,1,Caprylic/Capric Triglycerine,na
1,50,Cetearyl Alcohol,2,Cetearyl Alcohol,na
1,163,Ozokerite Wax,3,Ozokerite Wax,na
1,109,Glyceryl Dibehenate,4,Glyceryl Dibehenate,na
1,237,Tribehenin,5,Tribehenin,na
1,108,Glyceryl Behenate,6,Glyceryl Behenate,na
1,225,Stearyl Alcohol,7,Stearyl Alcohol,na
1,7,Allantoin,8,Allantoin,na
1,250,Vitamin E ,9,Tocopherol (Vitamin E),na
2,42,Caprylic/Capric Triglyceride,1,Caprylic/Capric Triglyceride,na
2,237,Tribehenin,2,Tribehenin,na
2,225,Stearyl Alcohol,3,Stearyl Alcohol,na
2,54,Cetyl Esters,4,Cetyl Esters,na
2,181,Polyethylene,5,Polyethylene,na
2,260,Zinc Oxide,6,Zinc Oxide,na
2,204,Silica,7,Silica,na
2,98,Ethylhexylglycerin,8,Ethylhexylglycerin,na
2,9,Aloe Vera Oil Extract,9,Aloe Vera Oil Extract,na
2,131,Isopropyl Palmitate,10,Isopropyl Palmitate,na
2,130,Isopropyl Myristate,11,Isopropyl Myristate,na
2,29,Bisabolol,12,Bisabolol,na
2,105,Ginger Root Extract,13,Zingiber Officinale (Ginger Root) Extract,na
2,250,Vitamin E ,14,Tocopheryl Acetate,na
3,252,Water,1,Water,na
3,158,Mineral Oil,2,Mineral Oil,na
3,223,Stearic Acid,3,Stearic Acid,na
3,131,Isopropyl Palmitate,4,Isopropyl Palmitate,na
3,50,Cetearyl Alcohol,5,Cetearyl Alcohol,na
3,185,Polysorbate 60,6,Polysorbate-60,na
3,53,Cetyl Alcohol,7,Cetyl Alcohol,na
3,107,Glycerin,8,Glycerin,na
3,110,Glyceryl Stearate,9,Glyceryl Stearate,na
3,167,PEG-100 Stearate,10,PEG-100 Stearate,na
3,81,Dimethicone,11,Dimethicone,na
3,42,Caprylic/Capric Triglyceride,12,Caprylic/Capric Triglyceride,na
3,65,Cocoa Butter,13,Cocoa Seed Butter,na
3,18,Beeswax,14,Beeswax,na
3,8,Aloe Vera,15,Aloe Leaf Juice,na
3,7,Allantoin,16,Allantoin,na
3,203,Shea Butter,17,Shea Butter,na
3,250,Vitamin E ,18,Vitamin E,na
3,145,Macadamia Seed Oil,19,Macadamia Seed Oil,na
3,253,Wheat Germ Oil,20,Wheat Germ Oil,na
3,114,Grape Seed Oil,21,Grape Seed Oil,na
3,119,Honey,22,Honey,na
3,103,Fragrance,23,Fragrance,na
3,240,Triethanolamine,24,TEA,na
3,91,EDTA,25,EDTA,ethylenediamine tetraacetic acid
3,157,Methylparaben,26,Methyl Paraben,na
3,194,Propylparaben,27,Propylparaben,Preservative
3,79,Diazolidinyl Urea,28,Diazolidinyl Urea,na
4,218,Soybean Oil,1,Soybean Oil,na
4,121,Hydrogenated Polyisobutene,2,Hydrogenated Polyisobutene,na
4,97,Ethylene/Propylene/Styrene Copolymer,3,Ethylene/Propulene/Styrene Copolymer,na
4,32,Butylene/Ethlene/Styrene Copolymer,4,Butylene/Ethlene/Styrene Copolymer,na
4,18,Beeswax,5,Beeswax,na
4,37,C18-36 Acid Triglycerides,6,C18-36 Acid Triglycerides,na
4,225,Stearyl Alcohol,7,Stearyl Alcohol,na
4,53,Cetyl Alcohol,8,Cetyl Alcohol,na
4,40,Candelilla Wax,9,Candelilla Wax,Beeswax or Carnuba Wax Substitute; plant based
