Product_ID,Product,Product_Type,Product_Audience,Product_Audience_Cat2,Product_Specific_Use,Product_List_Price_USD,Product_Size,Product_Size_Unit,Product_Unit_Cost_USD,Reviews,Score,Rate_5,Rate_4,Rate_3,Rate_2,Rate_1,Product_Rating_Date,Rating_Source,Ingredient_Date,Ingredient_Source
1,Body Glide Origional,Solid,Sport,All,General,9.99,36.9,g,0.271,1685,4.53,76,12,5,3,4,2/14/2016,Amazon.com,2/14/2016,Label
2,Gold Bond Friction Defense,Solid,Sport,All,General,5.99,49.6,g,0.121,341,4.48,73,13,6,5,3,2/14/2016,Amazon.com,2/14/2016,http://www.amazon.com/Gold-Bond-Friction-Defense-Ounce/dp/B007VC9DKI
3,Skin Stong Slather,Cream,Sport,Run,General,12.99,173,g,0.075,20,4.65,75,15,10,0,0,10/14/2014,Amazon.com,2/14/2016,Label
4,Brave Soldier Friction Zone,Ointment,Sport,Run; Bike,General,18.00,70,g,0.257,42,4.51,74,12,5,9,0,2/14/2016,Amazon.com,2/14/2016,Label
5,Trail Toes Foot and Body Cream,Cream,Sport,Run; Hike,Feet,12.99,56,g,0.232,156,4.68,84,7,5,1,3,9/16/2014,Amazon.com,2/14/2016,Label
6,HikeGoo Blister Prevention Cream (Feet),Cream,Sport,Hike,Feet,17.99,154,g,0.117,124,4.44,73,11,6,7,3,2/14/2016,Amazon.com,2/14/2016,rei.com
7,RunGoo Blister Prevention Cream,Cream,Sport,Run,Feet,17.99,154,g,0.117,73,4.34,69,12,8,6,5,2/14/2016,Amazon.com,2/14/2016,rei.com
8,Rocket Pure Friction Therapy Natural Anti-Chafe Balm,Cream,Sport,Triathlon,General,17.99,118,g,0.152,65,4.62,80,12,3,0,5,2/14/2016,http://www.amazon.com/Anti-chafe-Protection-Triathletes-Ingredients-Rocket/dp/B00RKHRUFY,2/14/2016,Amazon.com
9,Vaseline ,Ointment,General,General,General,3.99,368,g,0.011,524,4.72,83,11,3,1,2,2/14/2016,Amazon.com,2/14/2016,Amazon.com
10,Chamois Butt'r,Cream,Sport,Bike,Groin,17.99,237,g,0.076,654,4.77,84,12,2,1,1,2/14/2016,Amazon.com,2/14/2016,BikeBling.com
11,Blue Steel Sports Anti-Chafe Cream,Cream,Sport,Triathlon,General,13.83,100,ml,0.138,154,4.6,77,14,2,5,3,2/16/2016,Amazon.com,2/16/2016,Amazon.com
12,Lanacane Anti-Chafing Gel,Gel,General,General,General,10.00,28,g,0.357,200,4.62,80,9,7,1,3,2/16/2016,Amazon.com,2/16/2016,Amazon.com
13,ChafeStop anti-chafing stick,Solid,Sport,Triathlon,General,17.99,56.6,g,0.318,22,4.69,82,9,5,4,0,2/16/2016,Amazon.com,2/16/2016,Amazon.com
14,2Toms SportShield Liquid Roll-On,Liquid,Sport,Run,General,13.00,45,ml,0.289,172,4.84,86,12,2,0,0,2/16/2016,Amazon.com,2/16/2016,http://www.2toms.com/products-page/sportshield/sportshield-roll-on/
15,Mission Athletecare 5 Hour Anti-Chafe Cream,Cream,Sport,Run,General,14.43,57,g,0.253,82,4.4,71,14,7,4,0,2/16/2016,Amazon.com,2/16/2016,http://ec2-54-243-178-219.compute-1.amazonaws.com/skindeep/product/525433/MISSION_Athletecare_5_Hour_Anti-Chafe_Cream/
16,Trislide SBR Anti-Chafe Continuous Spray Lubricant,Liquid,Sport,Triathlon,General,14.96,118,ml,0.127,188,4.58,78,13,1,5,3,2/16/2016,Amazon.com,2/16/2016,http://www.drugstore.com/trislide-aerosol-skin-lubricant/qxp277713
17,SLIK Anti-Friction and Anti-Chafe Skin Lube,Liquid,Sport,Triathlon,General,15.95,118,ml,0.135,25,4.36,76,4,8,4,8,2/16/2016,Amazon.com,2/16/2016,http://skinstrong.com/slik-anti-chafing-spray/
18,Gooch Guard Chamois Cream,Cream,Sport,Bike,Groin,22.95,126,ml,0.182,230,4.78,81,17,1,1,0,2/20/2016,Amazon.com,2/20/2016,Amazon.com
19,Zealios All Natural; Vegan; Betwixt Athletic Skin Lubricant and Chamois Cream,Cream,Sport,Bike,Groin,24.95,237,ml,0.105,23,4.92,96,0,4,0,0,2/20/2016,Amazon.com,2/20/2016,Amazon.com
20,ChafeZone - Anti-Chafe and Blister Prevention,Solid,Sport,Triathlon,General,9.99,22.4,g,0.446,40,4.41,55,35,8,0,2,2/20/2016,Amazon.com,2/20/2016,http://www.ebay.com/itm/MedZone-ChafeZone-BurnZone-PainZone-LOT-of-20-NEW-First-Aid-Relief-Prevention-/151835007365
21,Mueller Lube Stick for Runners,Solid,Sport,Run,General,7.64,63,g,0.121,38,4.54,81,8,3,0,8,2/21/2016,Amazon.com,2/21/2016,http://www.amazon.com/Mueller-Lube-Stick-Runners-2-25-Ounce/dp/B000TS8MHG/ref=pd_sim_sg_16
